target_date,physical_acquisition_id,acquisition_local_date,lag_days
2020-06-17,sentinel-2a|2020-06-07T18:29:21.024000Z|R27|GS2A_20200607T182921_025907,2020-06-07,10
2020-06-17,sentinel-2b|2020-04-23T18:29:09.024000Z|R27|GS2B_20200423T182909_016355,2020-04-23,55
2020-06-17,sentinel-2b|2020-05-03T18:29:19.024000Z|R27|GS2B_20200503T182919_016498,2020-05-03,45
2020-06-17,sentinel-2b|2020-05-13T18:29:19.024000Z|R27|GS2B_20200513T182919_016641,2020-05-13,35
2020-06-17,sentinel-2b|2020-05-23T18:29:19.024000Z|R27|GS2B_20200523T182919_016784,2020-05-23,25
2020-06-17,sentinel-2b|2020-06-02T18:29:19.024000Z|R27|GS2B_20200602T182919_016927,2020-06-02,15
2020-06-17,sentinel-2b|2020-06-12T18:29:19.024000Z|R27|GS2B_20200612T182919_017070,2020-06-12,5
2020-07-03,sentinel-2a|2020-05-08T18:29:21.024000Z|R27|GS2A_20200508T182921_025478,2020-05-08,56
2020-07-03,sentinel-2a|2020-05-18T18:29:21.024000Z|R27|GS2A_20200518T182921_025621,2020-05-18,46
2020-07-03,sentinel-2a|2020-05-28T18:29:21.024000Z|R27|GS2A_20200528T182921_025764,2020-05-28,36
2020-07-03,sentinel-2a|2020-06-07T18:29:21.024000Z|R27|GS2A_20200607T182921_025907,2020-06-07,26
2020-07-03,sentinel-2a|2020-06-17T18:29:21.024000Z|R27|GS2A_20200617T182921_026050,2020-06-17,16
2020-07-03,sentinel-2a|2020-06-27T18:29:21.024000Z|R27|GS2A_20200627T182921_026193,2020-06-27,6
2020-07-03,sentinel-2b|2020-05-13T18:29:19.024000Z|R27|GS2B_20200513T182919_016641,2020-05-13,51
2020-07-03,sentinel-2b|2020-05-23T18:29:19.024000Z|R27|GS2B_20200523T182919_016784,2020-05-23,41
2020-07-03,sentinel-2b|2020-06-02T18:29:19.024000Z|R27|GS2B_20200602T182919_016927,2020-06-02,31
2020-07-03,sentinel-2b|2020-06-12T18:29:19.024000Z|R27|GS2B_20200612T182919_017070,2020-06-12,21
2020-07-03,sentinel-2b|2020-06-22T18:29:19.024000Z|R27|GS2B_20200622T182919_017213,2020-06-22,11
2020-07-03,sentinel-2b|2020-07-02T18:29:19.024000Z|R27|GS2B_20200702T182919_017356,2020-07-02,1
2020-07-19,sentinel-2a|2020-05-28T18:29:21.024000Z|R27|GS2A_20200528T182921_025764,2020-05-28,52
2020-07-19,sentinel-2a|2020-06-07T18:29:21.024000Z|R27|GS2A_20200607T182921_025907,2020-06-07,42
2020-07-19,sentinel-2a|2020-06-17T18:29:21.024000Z|R27|GS2A_20200617T182921_026050,2020-06-17,32
2020-07-19,sentinel-2a|2020-06-27T18:29:21.024000Z|R27|GS2A_20200627T182921_026193,2020-06-27,22
2020-07-19,sentinel-2a|2020-07-07T18:29:21.024000Z|R27|GS2A_20200707T182921_026336,2020-07-07,12
2020-07-19,sentinel-2a|2020-07-17T18:29:21.024000Z|R27|GS2A_20200717T182921_026479,2020-07-17,2
2020-07-19,sentinel-2b|2020-05-23T18:29:19.024000Z|R27|GS2B_20200523T182919_016784,2020-05-23,57
2020-07-19,sentinel-2b|2020-06-02T18:29:19.024000Z|R27|GS2B_20200602T182919_016927,2020-06-02,47
2020-07-19,sentinel-2b|2020-06-12T18:29:19.024000Z|R27|GS2B_20200612T182919_017070,2020-06-12,37
2020-07-19,sentinel-2b|2020-06-22T18:29:19.024000Z|R27|GS2B_20200622T182919_017213,2020-06-22,27
2020-07-19,sentinel-2b|2020-07-02T18:29:19.024000Z|R27|GS2B_20200702T182919_017356,2020-07-02,17
2020-07-19,sentinel-2b|2020-07-12T18:29:19.024000Z|R27|GS2B_20200712T182919_017499,2020-07-12,7
2020-08-04,sentinel-2a|2020-06-07T18:29:21.024000Z|R27|GS2A_20200607T182921_025907,2020-06-07,58
2020-08-04,sentinel-2a|2020-06-17T18:29:21.024000Z|R27|GS2A_20200617T182921_026050,2020-06-17,48
2020-08-04,sentinel-2a|2020-06-27T18:29:21.024000Z|R27|GS2A_20200627T182921_026193,2020-06-27,38
2020-08-04,sentinel-2a|2020-07-07T18:29:21.024000Z|R27|GS2A_20200707T182921_026336,2020-07-07,28
2020-08-04,sentinel-2a|2020-07-17T18:29:21.024000Z|R27|GS2A_20200717T182921_026479,2020-07-17,18
2020-08-04,sentinel-2a|2020-07-27T18:29:21.024000Z|R27|GS2A_20200727T182921_026622,2020-07-27,8
2020-08-04,sentinel-2b|2020-06-12T18:29:19.024000Z|R27|GS2B_20200612T182919_017070,2020-06-12,53
2020-08-04,sentinel-2b|2020-06-22T18:29:19.024000Z|R27|GS2B_20200622T182919_017213,2020-06-22,43
2020-08-04,sentinel-2b|2020-07-02T18:29:19.024000Z|R27|GS2B_20200702T182919_017356,2020-07-02,33
2020-08-04,sentinel-2b|2020-07-12T18:29:19.024000Z|R27|GS2B_20200712T182919_017499,2020-07-12,23
2020-08-04,sentinel-2b|2020-07-22T18:29:19.024000Z|R27|GS2B_20200722T182919_017642,2020-07-22,13
2020-08-04,sentinel-2b|2020-08-01T18:29:19.024000Z|R27|GS2B_20200801T182919_017785,2020-08-01,3
2020-08-20,sentinel-2a|2020-06-27T18:29:21.024000Z|R27|GS2A_20200627T182921_026193,2020-06-27,54
2020-08-20,sentinel-2a|2020-07-07T18:29:21.024000Z|R27|GS2A_20200707T182921_026336,2020-07-07,44
2020-08-20,sentinel-2a|2020-07-17T18:29:21.024000Z|R27|GS2A_20200717T182921_026479,2020-07-17,34
2020-08-20,sentinel-2a|2020-07-27T18:29:21.024000Z|R27|GS2A_20200727T182921_026622,2020-07-27,24
2020-08-20,sentinel-2a|2020-08-06T18:29:21.024000Z|R27|GS2A_20200806T182921_026765,2020-08-06,14
2020-08-20,sentinel-2a|2020-08-16T18:29:21.024000Z|R27|GS2A_20200816T182921_026908,2020-08-16,4
2020-08-20,sentinel-2b|2020-06-22T18:29:19.024000Z|R27|GS2B_20200622T182919_017213,2020-06-22,59
2020-08-20,sentinel-2b|2020-07-02T18:29:19.024000Z|R27|GS2B_20200702T182919_017356,2020-07-02,49
2020-08-20,sentinel-2b|2020-07-12T18:29:19.024000Z|R27|GS2B_20200712T182919_017499,2020-07-12,39
2020-08-20,sentinel-2b|2020-07-22T18:29:19.024000Z|R27|GS2B_20200722T182919_017642,2020-07-22,29
2020-08-20,sentinel-2b|2020-08-01T18:29:19.024000Z|R27|GS2B_20200801T182919_017785,2020-08-01,19
2020-08-20,sentinel-2b|2020-08-11T18:29:19.024000Z|R27|GS2B_20200811T182919_017928,2020-08-11,9
2020-09-05,sentinel-2a|2020-07-07T18:29:21.024000Z|R27|GS2A_20200707T182921_026336,2020-07-07,60
2020-09-05,sentinel-2a|2020-07-17T18:29:21.024000Z|R27|GS2A_20200717T182921_026479,2020-07-17,50
2020-09-05,sentinel-2a|2020-07-27T18:29:21.024000Z|R27|GS2A_20200727T182921_026622,2020-07-27,40
2020-09-05,sentinel-2a|2020-08-06T18:29:21.024000Z|R27|GS2A_20200806T182921_026765,2020-08-06,30
2020-09-05,sentinel-2a|2020-08-16T18:29:21.024000Z|R27|GS2A_20200816T182921_026908,2020-08-16,20
2020-09-05,sentinel-2a|2020-08-26T18:29:21.024000Z|R27|GS2A_20200826T182921_027051,2020-08-26,10
2020-09-05,sentinel-2b|2020-07-12T18:29:19.024000Z|R27|GS2B_20200712T182919_017499,2020-07-12,55
2020-09-05,sentinel-2b|2020-07-22T18:29:19.024000Z|R27|GS2B_20200722T182919_017642,2020-07-22,45
2020-09-05,sentinel-2b|2020-08-01T18:29:19.024000Z|R27|GS2B_20200801T182919_017785,2020-08-01,35
2020-09-05,sentinel-2b|2020-08-11T18:29:19.024000Z|R27|GS2B_20200811T182919_017928,2020-08-11,25
2020-09-05,sentinel-2b|2020-08-21T18:29:19.024000Z|R27|GS2B_20200821T182919_018071,2020-08-21,15
2020-09-05,sentinel-2b|2020-08-31T18:29:19.024000Z|R27|GS2B_20200831T182919_018214,2020-08-31,5
2020-09-21,sentinel-2a|2020-07-27T18:29:21.024000Z|R27|GS2A_20200727T182921_026622,2020-07-27,56
2020-09-21,sentinel-2a|2020-08-06T18:29:21.024000Z|R27|GS2A_20200806T182921_026765,2020-08-06,46
2020-09-21,sentinel-2a|2020-08-16T18:29:21.024000Z|R27|GS2A_20200816T182921_026908,2020-08-16,36
2020-09-21,sentinel-2a|2020-08-26T18:29:21.024000Z|R27|GS2A_20200826T182921_027051,2020-08-26,26
2020-09-21,sentinel-2a|2020-09-05T18:29:21.024000Z|R27|GS2A_20200905T182921_027194,2020-09-05,16
2020-09-21,sentinel-2a|2020-09-15T18:30:11.024000Z|R27|GS2A_20200915T183011_027337,2020-09-15,6
2020-09-21,sentinel-2b|2020-08-01T18:29:19.024000Z|R27|GS2B_20200801T182919_017785,2020-08-01,51
2020-09-21,sentinel-2b|2020-08-11T18:29:19.024000Z|R27|GS2B_20200811T182919_017928,2020-08-11,41
2020-09-21,sentinel-2b|2020-08-21T18:29:19.024000Z|R27|GS2B_20200821T182919_018071,2020-08-21,31
2020-09-21,sentinel-2b|2020-08-31T18:29:19.024000Z|R27|GS2B_20200831T182919_018214,2020-08-31,21
2020-09-21,sentinel-2b|2020-09-10T18:29:29.024000Z|R27|GS2B_20200910T182929_018357,2020-09-10,11
2020-09-21,sentinel-2b|2020-09-20T18:29:49.024000Z|R27|GS2B_20200920T182949_018500,2020-09-20,1
2020-10-07,sentinel-2a|2020-08-16T18:29:21.024000Z|R27|GS2A_20200816T182921_026908,2020-08-16,52
2020-10-07,sentinel-2a|2020-08-26T18:29:21.024000Z|R27|GS2A_20200826T182921_027051,2020-08-26,42
2020-10-07,sentinel-2a|2020-09-05T18:29:21.024000Z|R27|GS2A_20200905T182921_027194,2020-09-05,32
2020-10-07,sentinel-2a|2020-09-15T18:30:11.024000Z|R27|GS2A_20200915T183011_027337,2020-09-15,22
2020-10-07,sentinel-2a|2020-09-25T18:31:21.024000Z|R27|GS2A_20200925T183121_027480,2020-09-25,12
2020-10-07,sentinel-2b|2020-08-11T18:29:19.024000Z|R27|GS2B_20200811T182919_017928,2020-08-11,57
2020-10-07,sentinel-2b|2020-08-21T18:29:19.024000Z|R27|GS2B_20200821T182919_018071,2020-08-21,47
2020-10-07,sentinel-2b|2020-08-31T18:29:19.024000Z|R27|GS2B_20200831T182919_018214,2020-08-31,37
2020-10-07,sentinel-2b|2020-09-10T18:29:29.024000Z|R27|GS2B_20200910T182929_018357,2020-09-10,27
2020-10-07,sentinel-2b|2020-09-20T18:29:49.024000Z|R27|GS2B_20200920T182949_018500,2020-09-20,17
2020-10-07,sentinel-2b|2020-09-30T18:31:09.024000Z|R27|GS2B_20200930T183109_018643,2020-09-30,7
2020-10-23,sentinel-2a|2020-08-26T18:29:21.024000Z|R27|GS2A_20200826T182921_027051,2020-08-26,58
2020-10-23,sentinel-2a|2020-09-05T18:29:21.024000Z|R27|GS2A_20200905T182921_027194,2020-09-05,48
2020-10-23,sentinel-2a|2020-09-15T18:30:11.024000Z|R27|GS2A_20200915T183011_027337,2020-09-15,38
2020-10-23,sentinel-2a|2020-09-25T18:31:21.024000Z|R27|GS2A_20200925T183121_027480,2020-09-25,28
2020-10-23,sentinel-2a|2020-10-15T18:33:41.024000Z|R27|GS2A_20201015T183341_027766,2020-10-15,8
2020-10-23,sentinel-2b|2020-08-31T18:29:19.024000Z|R27|GS2B_20200831T182919_018214,2020-08-31,53
2020-10-23,sentinel-2b|2020-09-10T18:29:29.024000Z|R27|GS2B_20200910T182929_018357,2020-09-10,43
2020-10-23,sentinel-2b|2020-09-20T18:29:49.024000Z|R27|GS2B_20200920T182949_018500,2020-09-20,33
2020-10-23,sentinel-2b|2020-09-30T18:31:09.024000Z|R27|GS2B_20200930T183109_018643,2020-09-30,23
2020-10-23,sentinel-2b|2020-10-10T18:33:09.024000Z|R27|GS2B_20201010T183309_018786,2020-10-10,13
2020-10-23,sentinel-2b|2020-10-20T18:34:19.024000Z|R27|GS2B_20201020T183419_018929,2020-10-20,3
2021-05-03,sentinel-2a|2021-03-04T18:32:41.024000Z|R27|GS2A_20210304T183241_029768,2021-03-04,60
2021-05-03,sentinel-2a|2021-03-14T18:31:31.024000Z|R27|GS2A_20210314T183131_029911,2021-03-14,50
2021-05-03,sentinel-2a|2021-03-24T18:30:21.024000Z|R27|GS2A_20210324T183021_030054,2021-03-24,40
2021-05-03,sentinel-2a|2021-04-03T18:29:11.024000Z|R27|GS2A_20210403T182911_030197,2021-04-03,30
2021-05-03,sentinel-2a|2021-04-13T18:29:11.024000Z|R27|GS2A_20210413T182911_030340,2021-04-13,20
2021-05-03,sentinel-2a|2021-04-23T18:29:11.024000Z|R27|GS2A_20210423T182911_030483,2021-04-23,10
2021-05-03,sentinel-2b|2021-03-09T18:31:09.024000Z|R27|GS2B_20210309T183109_020931,2021-03-09,55
2021-05-03,sentinel-2b|2021-03-19T18:29:59.024000Z|R27|GS2B_20210319T182959_021074,2021-03-19,45
2021-05-03,sentinel-2b|2021-03-29T18:29:29.024000Z|R27|GS2B_20210329T182929_021217,2021-03-29,35
2021-05-03,sentinel-2b|2021-04-08T18:29:19.024000Z|R27|GS2B_20210408T182919_021360,2021-04-08,25
2021-05-03,sentinel-2b|2021-04-18T18:29:09.024000Z|R27|GS2B_20210418T182909_021503,2021-04-18,15
2021-05-03,sentinel-2b|2021-04-28T18:29:09.024000Z|R27|GS2B_20210428T182909_021646,2021-04-28,5
2021-05-19,sentinel-2a|2021-03-24T18:30:21.024000Z|R27|GS2A_20210324T183021_030054,2021-03-24,56
2021-05-19,sentinel-2a|2021-04-03T18:29:11.024000Z|R27|GS2A_20210403T182911_030197,2021-04-03,46
2021-05-19,sentinel-2a|2021-04-13T18:29:11.024000Z|R27|GS2A_20210413T182911_030340,2021-04-13,36
2021-05-19,sentinel-2a|2021-04-23T18:29:11.024000Z|R27|GS2A_20210423T182911_030483,2021-04-23,26
2021-05-19,sentinel-2a|2021-05-03T18:29:21.024000Z|R27|GS2A_20210503T182921_030626,2021-05-03,16
2021-05-19,sentinel-2a|2021-05-13T18:29:21.024000Z|R27|GS2A_20210513T182921_030769,2021-05-13,6
2021-05-19,sentinel-2b|2021-03-29T18:29:29.024000Z|R27|GS2B_20210329T182929_021217,2021-03-29,51
2021-05-19,sentinel-2b|2021-04-08T18:29:19.024000Z|R27|GS2B_20210408T182919_021360,2021-04-08,41
2021-05-19,sentinel-2b|2021-04-18T18:29:09.024000Z|R27|GS2B_20210418T182909_021503,2021-04-18,31
2021-05-19,sentinel-2b|2021-04-28T18:29:09.024000Z|R27|GS2B_20210428T182909_021646,2021-04-28,21
2021-05-19,sentinel-2b|2021-05-08T18:29:19.024000Z|R27|GS2B_20210508T182919_021789,2021-05-08,11
2021-05-19,sentinel-2b|2021-05-18T18:29:19.024000Z|R27|GS2B_20210518T182919_021932,2021-05-18,1
2021-06-04,sentinel-2a|2021-04-13T18:29:11.024000Z|R27|GS2A_20210413T182911_030340,2021-04-13,52
2021-06-04,sentinel-2a|2021-04-23T18:29:11.024000Z|R27|GS2A_20210423T182911_030483,2021-04-23,42
2021-06-04,sentinel-2a|2021-05-03T18:29:21.024000Z|R27|GS2A_20210503T182921_030626,2021-05-03,32
2021-06-04,sentinel-2a|2021-05-13T18:29:21.024000Z|R27|GS2A_20210513T182921_030769,2021-05-13,22
2021-06-04,sentinel-2a|2021-05-23T18:29:21.024000Z|R27|GS2A_20210523T182921_030912,2021-05-23,12
2021-06-04,sentinel-2a|2021-06-02T18:29:21.024000Z|R27|GS2A_20210602T182921_031055,2021-06-02,2
2021-06-04,sentinel-2b|2021-04-08T18:29:19.024000Z|R27|GS2B_20210408T182919_021360,2021-04-08,57
2021-06-04,sentinel-2b|2021-04-18T18:29:09.024000Z|R27|GS2B_20210418T182909_021503,2021-04-18,47
2021-06-04,sentinel-2b|2021-04-28T18:29:09.024000Z|R27|GS2B_20210428T182909_021646,2021-04-28,37
2021-06-04,sentinel-2b|2021-05-08T18:29:19.024000Z|R27|GS2B_20210508T182919_021789,2021-05-08,27
2021-06-04,sentinel-2b|2021-05-18T18:29:19.024000Z|R27|GS2B_20210518T182919_021932,2021-05-18,17
2021-06-04,sentinel-2b|2021-05-28T18:29:19.024000Z|R27|GS2B_20210528T182919_022075,2021-05-28,7
2021-06-20,sentinel-2a|2021-04-23T18:29:11.024000Z|R27|GS2A_20210423T182911_030483,2021-04-23,58
2021-06-20,sentinel-2a|2021-05-03T18:29:21.024000Z|R27|GS2A_20210503T182921_030626,2021-05-03,48
2021-06-20,sentinel-2a|2021-05-13T18:29:21.024000Z|R27|GS2A_20210513T182921_030769,2021-05-13,38
2021-06-20,sentinel-2a|2021-05-23T18:29:21.024000Z|R27|GS2A_20210523T182921_030912,2021-05-23,28
2021-06-20,sentinel-2a|2021-06-02T18:29:21.024000Z|R27|GS2A_20210602T182921_031055,2021-06-02,18
2021-06-20,sentinel-2a|2021-06-12T18:29:21.024000Z|R27|GS2A_20210612T182921_031198,2021-06-12,8
2021-06-20,sentinel-2b|2021-04-28T18:29:09.024000Z|R27|GS2B_20210428T182909_021646,2021-04-28,53
2021-06-20,sentinel-2b|2021-05-08T18:29:19.024000Z|R27|GS2B_20210508T182919_021789,2021-05-08,43
2021-06-20,sentinel-2b|2021-05-18T18:29:19.024000Z|R27|GS2B_20210518T182919_021932,2021-05-18,33
2021-06-20,sentinel-2b|2021-05-28T18:29:19.024000Z|R27|GS2B_20210528T182919_022075,2021-05-28,23
2021-06-20,sentinel-2b|2021-06-07T18:29:19.024000Z|R27|GS2B_20210607T182919_022218,2021-06-07,13
2021-06-20,sentinel-2b|2021-06-17T18:29:19.024000Z|R27|GS2B_20210617T182919_022361,2021-06-17,3
2021-07-06,sentinel-2a|2021-05-13T18:29:21.024000Z|R27|GS2A_20210513T182921_030769,2021-05-13,54
2021-07-06,sentinel-2a|2021-05-23T18:29:21.024000Z|R27|GS2A_20210523T182921_030912,2021-05-23,44
2021-07-06,sentinel-2a|2021-06-02T18:29:21.024000Z|R27|GS2A_20210602T182921_031055,2021-06-02,34
2021-07-06,sentinel-2a|2021-06-12T18:29:21.024000Z|R27|GS2A_20210612T182921_031198,2021-06-12,24
2021-07-06,sentinel-2a|2021-06-22T18:29:21.024000Z|R27|GS2A_20210622T182921_031341,2021-06-22,14
2021-07-06,sentinel-2a|2021-07-02T18:29:21.024000Z|R27|GS2A_20210702T182921_031484,2021-07-02,4
2021-07-06,sentinel-2b|2021-05-08T18:29:19.024000Z|R27|GS2B_20210508T182919_021789,2021-05-08,59
2021-07-06,sentinel-2b|2021-05-18T18:29:19.024000Z|R27|GS2B_20210518T182919_021932,2021-05-18,49
2021-07-06,sentinel-2b|2021-05-28T18:29:19.024000Z|R27|GS2B_20210528T182919_022075,2021-05-28,39
2021-07-06,sentinel-2b|2021-06-07T18:29:19.024000Z|R27|GS2B_20210607T182919_022218,2021-06-07,29
2021-07-06,sentinel-2b|2021-06-17T18:29:19.024000Z|R27|GS2B_20210617T182919_022361,2021-06-17,19
2021-07-06,sentinel-2b|2021-06-27T18:29:19.024000Z|R27|GS2B_20210627T182919_022504,2021-06-27,9
2021-07-22,sentinel-2a|2021-05-23T18:29:21.024000Z|R27|GS2A_20210523T182921_030912,2021-05-23,60
2021-07-22,sentinel-2a|2021-06-02T18:29:21.024000Z|R27|GS2A_20210602T182921_031055,2021-06-02,50
2021-07-22,sentinel-2a|2021-06-12T18:29:21.024000Z|R27|GS2A_20210612T182921_031198,2021-06-12,40
2021-07-22,sentinel-2a|2021-06-22T18:29:21.024000Z|R27|GS2A_20210622T182921_031341,2021-06-22,30
2021-07-22,sentinel-2a|2021-07-02T18:29:21.024000Z|R27|GS2A_20210702T182921_031484,2021-07-02,20
2021-07-22,sentinel-2a|2021-07-12T18:29:21.024000Z|R27|GS2A_20210712T182921_031627,2021-07-12,10
2021-07-22,sentinel-2b|2021-05-28T18:29:19.024000Z|R27|GS2B_20210528T182919_022075,2021-05-28,55
2021-07-22,sentinel-2b|2021-06-07T18:29:19.024000Z|R27|GS2B_20210607T182919_022218,2021-06-07,45
2021-07-22,sentinel-2b|2021-06-17T18:29:19.024000Z|R27|GS2B_20210617T182919_022361,2021-06-17,35
2021-07-22,sentinel-2b|2021-06-27T18:29:19.024000Z|R27|GS2B_20210627T182919_022504,2021-06-27,25
2021-07-22,sentinel-2b|2021-07-07T18:29:19.024000Z|R27|GS2B_20210707T182919_022647,2021-07-07,15
2021-07-22,sentinel-2b|2021-07-17T18:29:19.024000Z|R27|GS2B_20210717T182919_022790,2021-07-17,5
2021-08-07,sentinel-2a|2021-06-12T18:29:21.024000Z|R27|GS2A_20210612T182921_031198,2021-06-12,56
2021-08-07,sentinel-2a|2021-06-22T18:29:21.024000Z|R27|GS2A_20210622T182921_031341,2021-06-22,46
2021-08-07,sentinel-2a|2021-07-02T18:29:21.024000Z|R27|GS2A_20210702T182921_031484,2021-07-02,36
2021-08-07,sentinel-2a|2021-07-12T18:29:21.024000Z|R27|GS2A_20210712T182921_031627,2021-07-12,26
2021-08-07,sentinel-2a|2021-07-22T18:29:21.024000Z|R27|GS2A_20210722T182921_031770,2021-07-22,16
2021-08-07,sentinel-2a|2021-08-01T18:29:21.024000Z|R27|GS2A_20210801T182921_031913,2021-08-01,6
2021-08-07,sentinel-2b|2021-06-17T18:29:19.024000Z|R27|GS2B_20210617T182919_022361,2021-06-17,51
2021-08-07,sentinel-2b|2021-06-27T18:29:19.024000Z|R27|GS2B_20210627T182919_022504,2021-06-27,41
2021-08-07,sentinel-2b|2021-07-07T18:29:19.024000Z|R27|GS2B_20210707T182919_022647,2021-07-07,31
2021-08-07,sentinel-2b|2021-07-17T18:29:19.024000Z|R27|GS2B_20210717T182919_022790,2021-07-17,21
2021-08-07,sentinel-2b|2021-07-27T18:29:19.024000Z|R27|GS2B_20210727T182919_022933,2021-07-27,11
2021-08-07,sentinel-2b|2021-08-06T18:29:19.024000Z|R27|GS2B_20210806T182919_023076,2021-08-06,1
2021-08-23,sentinel-2a|2021-07-02T18:29:21.024000Z|R27|GS2A_20210702T182921_031484,2021-07-02,52
2021-08-23,sentinel-2a|2021-07-12T18:29:21.024000Z|R27|GS2A_20210712T182921_031627,2021-07-12,42
2021-08-23,sentinel-2a|2021-07-22T18:29:21.024000Z|R27|GS2A_20210722T182921_031770,2021-07-22,32
2021-08-23,sentinel-2a|2021-08-01T18:29:21.024000Z|R27|GS2A_20210801T182921_031913,2021-08-01,22
2021-08-23,sentinel-2a|2021-08-11T18:29:21.024000Z|R27|GS2A_20210811T182921_032056,2021-08-11,12
2021-08-23,sentinel-2a|2021-08-21T18:29:21.024000Z|R27|GS2A_20210821T182921_032199,2021-08-21,2
2021-08-23,sentinel-2b|2021-06-27T18:29:19.024000Z|R27|GS2B_20210627T182919_022504,2021-06-27,57
2021-08-23,sentinel-2b|2021-07-07T18:29:19.024000Z|R27|GS2B_20210707T182919_022647,2021-07-07,47
2021-08-23,sentinel-2b|2021-07-17T18:29:19.024000Z|R27|GS2B_20210717T182919_022790,2021-07-17,37
2021-08-23,sentinel-2b|2021-07-27T18:29:19.024000Z|R27|GS2B_20210727T182919_022933,2021-07-27,27
2021-08-23,sentinel-2b|2021-08-06T18:29:19.024000Z|R27|GS2B_20210806T182919_023076,2021-08-06,17
2021-08-23,sentinel-2b|2021-08-16T18:29:19.024000Z|R27|GS2B_20210816T182919_023219,2021-08-16,7
2021-09-08,sentinel-2a|2021-07-12T18:29:21.024000Z|R27|GS2A_20210712T182921_031627,2021-07-12,58
2021-09-08,sentinel-2a|2021-07-22T18:29:21.024000Z|R27|GS2A_20210722T182921_031770,2021-07-22,48
2021-09-08,sentinel-2a|2021-08-01T18:29:21.024000Z|R27|GS2A_20210801T182921_031913,2021-08-01,38
2021-09-08,sentinel-2a|2021-08-11T18:29:21.024000Z|R27|GS2A_20210811T182921_032056,2021-08-11,28
2021-09-08,sentinel-2a|2021-08-21T18:29:21.024000Z|R27|GS2A_20210821T182921_032199,2021-08-21,18
2021-09-08,sentinel-2a|2021-08-31T18:29:21.024000Z|R27|GS2A_20210831T182921_032342,2021-08-31,8
