experiment_id,started_at,git_commit,config_sha256,data_fingerprint,split_id,model_id,random_seed,status,primary_metric,primary_value,notes
static_sources_v1,2026-07-18T19:55:45+08:00,UNCOMMITTED,not_applicable,srtm_gl1_v3_opentopography_tiger2019_coastline,static_source_download,none,not_applicable,PASS,promoted_outputs_valid,1.0000,Two SRTM GeoTIFFs and one Census coastline ZIP; exact hashes and content audits; atomic commit 48ea6ae473af43f85bcb0505d42daf843330120425823967ac8d143990fba396
sentinel_inventory_v1,2026-07-18T19:55:29+08:00,UNCOMMITTED,not_applicable,sentinel_semantic_326a6741_target_manifest45a69106,development_2020_2024_target_blind_inventory,none,not_applicable,PASS,target_date_coverage_fraction,1.0000,226 physical acquisitions; 449 selected items; 1045 legal d-60 through d-1 memberships; all 90 target dates; zero 2025 rows; no global cloud cutoff
daymet_grid_inventory_v1,2026-07-18T20:22:47+08:00,UNCOMMITTED,28a2860109830087443cee4e7e90584633f336eb14195a437c3ffd4319a458d8,daymet_inventory76552156,development_2020_2024_inventory,none,not_applicable,PASS,granule_count,30,"Official CMR inventory; six variables x five years; zero 2025; metadata only and no weather values downloaded"
nlcd_sources_v1,2026-07-18T20:23:40+08:00,UNCOMMITTED,not_applicable,nlcd_land_d40a7cb3_impervious_c87a3a3,static_source_download,none,not_applicable,PASS,promoted_outputs_valid,1.0000,"Official MRLC WCS LA subsets; scientific impervious NoData is 127; source commit 86df6e71853a508cfd2133fb5546686c66bed5ca3dec3cde821ce006c9be5671"
static_features_v1,2026-07-18T20:33:26+08:00,UNCOMMITTED,1fd65a54352122dc0ea81f491da1655c53449852b699ebb666f42e49861231ac,static_semantic_e14c7606,static_1096_geoids,none,not_applicable,PASS,minimum_source_coverage_fraction,1.0000,"1096 unique GEOIDs; 18 model and 1 audit-only feature; zero missing; developed-medium reference excluded target-blind"
sentinel_feature_smoke_v1,2026-07-18T20:39:04+08:00,UNCOMMITTED,094dfb394bc45740343351bfaacaf6e558b92e1dd4d40313917756974b0e62b5,sentinel_inventory326a6741_smoke819417a0,single_real_cog_window,none,not_applicable,PASS,decoded_b04_finite_fraction,1.0000,"Smoke only and not model features; real baseline-04.00 B04/SCL window; native phase and BOA calibration checked"
sentinel_acquisition_checkpoint_v1,2026-07-18T20:44:20+08:00,UNCOMMITTED,094dfb394bc45740343351bfaacaf6e558b92e1dd4d40313917756974b0e62b5,sentinel_pipeline68774cc3_acquisition04efb29a,single_physical_acquisition_2021_10_20,none,not_applicable,PASS,qualifying_tract_fraction,0.9516,"Full-resolution cache checkpoint only; 1096 unique tract rows; 1043 pass the frozen 80% coverage gate; 53 have all five features missing; fixed support exact; full 226-acquisition composite stage remains unpromoted"
sentinel_acquisition_cache_audit_v1,2026-07-19T09:59:40+08:00,UNCOMMITTED,094dfb394bc45740343351bfaacaf6e558b92e1dd4d40313917756974b0e62b5,sentinel_pipeline68774cc3_cacheaudit18,18_physical_acquisitions_progress_audit,none,not_applicable,PASS,validated_cache_count,18,"19728 unique tract-acquisition rows; 12082 pass frozen gate; exact 1096 GEOIDs and 1166782 eligible pixels; three zero-qualifying dates valid; zero 2025; zero partial files; fixed support and cache locks exact; composites unpromoted"
feature_key_universe_v1,2026-07-19T11:18:00+08:00,UNCOMMITTED,not_applicable,feature_keys5379959e,feature_support_90_dates_x_1096_tracts,none,not_applicable,PASS,key_count,98640,"Target-blind draft only; exact Cartesian support; no LST or target QA table read; zero duplicates and zero 2025; Phase 2 remains unpromoted"
validation_splits_draft_v1,2026-07-19T11:23:00+08:00,UNCOMMITTED,2e7c715015967e4fba6b9904b440b082d43fef9a913847d75768127af6e880e3,legal_keys7a1f4040_fixed_tracts73fde5df,predeclared_temporal5_spatial71_joint355,none,not_applicable,PASS,oof_assignment_coverage_fraction,1.0000,"Predeclared draft only; 63403 legal rows and 65 dates; each key is OOF test exactly once per family; joint training uses fixed <=1000 m geometry buffer; not ready for model evaluation"
calendar_features_v1,2026-07-19T11:36:00+08:00,UNCOMMITTED,not_applicable,feature_keys5379959e,calendar_full_98640_key_support,none,not_applicable,PASS,calendar_row_count,98640,"Target-blind known-at-origin sin/cos pair; 90 dates x 1096 tracts; leap-aware unit-circle formula; zero missing and zero 2025; semantic table 9c7cfc530a696ee65b9c0568db83eebb33535e74f46e3d0328e6a29819acb4ca"
phase2_registry_draft_v1,2026-07-19T11:41:00+08:00,UNCOMMITTED,1811e6e00d3da121f853bb146c5bef661b9523d2cad869d82ef947364227a482,static_registry562dbf03,phase2_registry_46_model_features,none,not_applicable,PASS,model_feature_count,46,"Metadata-only draft; 18 static + 2 calendar + 21 Daymet + 5 Sentinel; ordered semantic 0638ef9c0e8c440764efede0cff2ef694e86d8d64373e23a43f2c87623f1168e; no dynamic values or target tables read"
modeling_contract_v1,2026-07-19T11:49:00+08:00,UNCOMMITTED,not_applicable,phase2_registry0638ef9c,pre_fit_contract_only,B0_B1_B2_M1_M2_factories,20260719,PASS,pipeline_contract_count,5,"No model fit and no score inspected; B0 uses one training date mean per row; other models use equal total date weights; train-only dynamic medians; missing indicators and random-row HGB early stopping prohibited; hyperparameter grids remain pending"
sentinel_feature_stage_v1,2026-07-20T09:42:38+08:00,UNCOMMITTED,094dfb394bc45740343351bfaacaf6e558b92e1dd4d40313917756974b0e62b5,sentinel_pipeline68774cc3_features1114f611,full_90_dates_x_1096_tracts,none,not_applicable,PASS,feature_available_fraction,0.9922,"226 valid physical acquisition caches; 98640 model rows; 97870 available; 1145320 lineage rows; exact d-60 to d-1; zero duplicate keys or 2025; cache-preserving target-sharded compile adapter; promoted outputs valid"
sentinel_feature_promotion_v1,2026-07-20T10:20:00+08:00,UNCOMMITTED,094dfb394bc45740343351bfaacaf6e558b92e1dd4d40313917756974b0e62b5,sentinel_processed_aa02df3a_promotion_bf3adffc,full_90_dates_x_1096_tracts,none,not_applicable,PASS,feature_available_fraction,0.9922,"Formal normalized target-blind predictor output; 98640 rows; 97870 available and 770 all-five missing; no partial missing; minimum date/tract availability 0.5675/0.8556; source/interim SHA 1114f611; processed SHA aa02df3a; promotion commit bf3adfffcfe52df7cca7c366fa214d6cb11a5cca4bf1111454c99c87fd48e291"
model_selection_freeze_v1,2026-07-20T10:45:00+08:00,UNCOMMITTED,98f0429f3f2daa6f61f2bf260ff284f7fe08cc52487ee6f11abcab05b98fcec0,model_selection_commit4d8c2bd3,nested_whole_year_inner_cv_contract,B0_B1_B2_M1_M2_31_candidates,20260719,PASS,candidate_count,31,"Frozen before targets, scores, or model fits; exact expected validation dates required; 1 B0 + 5 B1 + 5 B2 + 12 M1 + 8 M2; freeze commit 4d8c2bd37be67f9f46d89d1dec8d5ed0aab196b24b43f9745ff730f040f2a6cd"
phase2_readiness_v1,2026-07-20T11:04:12+08:00,UNCOMMITTED,not_applicable,phase2_readiness7a38e450_sentinelaa02df3a_daymet_inventory76552156,target_blind_98640_key_audit,none,not_applicable,BLOCKED,ready_for_feature_assembly,0,"Key/registry/static/calendar/Sentinel complete; Daymet 0 of 21 values because authenticated subsets are absent; phase2_complete=false; no target, target QA, or score table read; failed authentication attempt left no subset or derived file; readiness commit 7a38e450d7c3cfc4260e7c684cae84075d8e1c85d10a0904849214a42dedcc9d"
daymet_subset_download_v1,2026-07-20T17:19:29+08:00,UNCOMMITTED,d406d2ffc2c77830a437ef9d2db3bfa8c77e673e08297ed03c77387117b7dd87,daymet_subset_manifest329dbfda_inventorybf957a18,development_2020_2024_30_granules,none,not_applicable,PASS,subset_completion_fraction,1.0000,"Service-Bridge returned no usable constrained URL; official direct DAP4 fixed indices y=5666:5745 and x=2900:2963; 30/30 files; 70840908 bytes; manifest SHA 329dbfdac420c8ebef2a48d5a75de36c7a98cde5fa20268ccb5f3a6eec3d73b4; zero 2025"
daymet_features_v1,2026-07-20T17:24:37+08:00,UNCOMMITTED,d406d2ffc2c77830a437ef9d2db3bfa8c77e673e08297ed03c77387117b7dd87,daymet_features11af1670_commit_a7da6a10,full_90_dates_x_1096_tracts,none,not_applicable,PASS,complete_feature_row_fraction,1.0000,"98640 rows; 21 d-n through d-1 weather predictors; zero missing; Parquet SHA 11af1670280c54637bac883c7525fbee033139d9e00d6fd42f3e91124f584590; commit a7da6a107695787f047547275669217c6bd508b12852e2d6c244078f687c0ea9; zero 2025"
phase2_readiness_v2,2026-07-20T17:27:20+08:00,UNCOMMITTED,not_applicable,phase2_readiness86938c7e,target_blind_98640_key_audit,none,not_applicable,PASS,ready_for_feature_assembly,1,"All predictor families complete; no blockers; no target, target-QA, prediction, or score values read; artifact SHA 86938c7e597be689659fa56b6246a7d81be55092af08c1c6bda8cac18f5d228e; commit 92534764be459110ff239670f320e3b947313f344ca00774c3097cff42fa3762; 2025 locked"
phase2_features_v1,2026-07-20T17:55:37+08:00,UNCOMMITTED,not_applicable,phase2_features39b27d35_registryb2ffbaa4,target_blind_90_dates_x_1096_tracts,none,not_applicable,PASS,key_coverage_fraction,1.0000,"Target-blind 98640 x 49 table = 2 keys + 46 model + 1 audit-only; Parquet SHA 39b27d358a29e6104ed9573a381b16efd7fb29d5e90ac958503118d1d1235752; commit 3f5e4017713f90a47a4a5b1eefdb4e91bb6141bfb1f0458d9a168dd785c2a364; no target or score read; zero 2025"
development_model_dataset_v1,2026-07-20T17:56:10+08:00,UNCOMMITTED,not_applicable,model_table3a365f5d_phase2_commit3f5e4017,legal_target_rows_65_dates,none,not_applicable,PASS,independent_date_count,65,"Gated join after Phase 2 promotion; 63403 x 50; 1096 tracts; Parquet SHA 3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75; commit 9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad; 2025 remains locked"
validation_split_promotion_v1,2026-07-20T18:07:25+08:00,UNCOMMITTED,2e7c715015967e4fba6b9904b440b082d43fef9a913847d75768127af6e880e3,split_promotion055cda0b_rowgroups400de375,promoted_temporal5_spatial71_joint355,none,not_applicable,PASS,fold_count,431,"63403 rows; 65 dates; 71 blocks; 5 temporal + 71 spatial + 355 joint folds; read only model-table keys and no target, predictor, prediction, or score values; promotion commit 6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc; zero 2025"
grouped_model_runtime_calibration_v1,2026-07-20T19:36:27+08:00,UNCOMMITTED,98f0429f3f2daa6f61f2bf260ff284f7fe08cc52487ee6f11abcab05b98fcec0,context80b44eb3_taskplan0d662d5d,runtime_only_one_inner_fit_per_model,B0_B1_B2_M1_M2,20260719,PASS,projected_inner_seconds_one_worker,803071.3932,"Five conservative runtime samples only; queue_mutated=false; performance date scores neither inspected nor published; B0/B1/B2 2.50-3.08 s and M1/M2 20.72-21.03 s; calibration commit 7f69f0ffcb1865521323393c8d4a72e974520d5fd725ffecfb7716f5e10fef26; zero 2025"
grouped_model_queue_smoke_v1,2026-07-20T20:00:47+08:00,UNCOMMITTED,98f0429f3f2daa6f61f2bf260ff284f7fe08cc52487ee6f11abcab05b98fcec0,run_c81b941c_manifest82f04117,promoted_nested_grouped_plan,B0,20260719,PASS,completed_task_count,1,"Formal durable queue initialized with 55645 inner + 2155 outer tasks; one B0 inner task completed in 2.45 s; safely paused at 1/57800; zero active/quarantined; no candidate comparison or outer OOF claim; 2025 locked"
returned_model_result_import_v1,2026-07-22T16:00:00+08:00,UNCOMMITTED,not_applicable,archive0a07e9e3_importb0382cdc,run_eb2d09ce_grouped_development,B0_B1_B2_M1_M2,20260719,PASS,completed_task_fraction,1.0000,"Accepted D:\Downloads\FINAL _VER.zip SHA 0a07e9e3f016b0ed67a5f00085b0ab74ebd0f5273b58f9cbadbb07aa6ac0a335; 57800/57800 tasks complete; ZIP contained and canonical import used all 2155 original outer fragments; zero reconstructed; earlier extracted folder loss was Windows long-path only; import audit commit b0382cdc792d9716ebf13dcfd69256e08a0920bd8ac45a0fe554946ae6640393; 2025 locked"
initial_model_result_analysis_v1,2026-07-22T16:21:44+08:00,UNCOMMITTED,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d,oof0c06b88f_analysisd8bfaf25,joint_65_dates_71_blocks,M2_vs_B1,20260722,PASS,relative_mae_improvement_fraction,0.161896,"63403 development rows; B1 MAE 2.516141 C versus M2 2.108788 C; absolute improvement 0.407353 C; 5000-replicate paired crossed date-by-block 95% CI 4.2088%-27.6883%; P>0=0.995; P>10%=0.8516; median per-date Spearman 0.792785; required development gates pass but CI lower bound does not exceed 10%; provenance d8bfaf258590d2ef42abe37a73fb92eeba3d66d61f23fd5f85b8e8c5616844c4; not the 2025 final test"
model_qa_diagnostics_v1,2026-07-22T17:21:00+08:00,UNCOMMITTED,7aa8bd3788cae6e66c6c4871a49473054c3d4a2a4d630e57133b0a0415c23165,oof0c06b88f_qa938a837c,joint_65_dates_71_blocks,M2_vs_B1,20260723,PASS,all_row_relative_mae_improvement_fraction,0.161896,"Frozen QA cohorts and failure cases; all-row diagnostic bootstrap CI 3.7580%-27.4255%; tract-median ST_QA <=2 K improvement 8.8608% with CI -9.8226%-26.4133% and is not the pixel hard-mask sensitivity; Sentinel-missing group only 168 rows; provenance 938a837cde8f49785e708e7960a4bca680ad851007a142189dbf4f3ac640ef8e; 2025 locked"
model_endpoint_diagnostics_v1,2026-07-22T17:22:35+08:00,UNCOMMITTED,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,oof0c06b88f_endpoint2ec9540c,joint_relative_gate_34_dates,M2_vs_B1,not_applicable,PASS,m2_mean_per_date_average_precision,0.666949,"36139 rows on 34 gate-passing dates; B1 AP 0.397683; exact-top-20 recall B1 0.420779 versus M2 0.613917; sensor direction stable; Sentinel-missing stratum exploratory; provenance 2ec9540ca7817dd53802e5849a35a8499b7f0755c7057b3c3b4292183475881a; 2025 locked"
residual_spatial_diagnostics_v1,2026-07-22T17:22:34+08:00,UNCOMMITTED,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2,oof0c06b88f_residual44047f7c,joint_65_dates_71_blocks,M2_vs_B1,20260722,PASS,m2_mean_morans_i,0.574355,"B1 mean/median Moran I 0.639090/0.669207; M2 0.574355/0.575018; all 65 dates positive with exploratory unadjusted p<=0.05; M2 reduces but does not remove residual clustering; provenance 44047f7c9dd72135ab93d06bb4dc31144772ea012de98ba117768a185fdccc30; 2025 locked"
model_diagnostic_figures_v1,2026-07-22T18:01:18+08:00,UNCOMMITTED,c2d77d7ab37bc176247b9bf746ffbb0788e1bb12291cfb7466a0773df3e051f5,diagnostics0e69b5bf_fixed_dates,development_only,B1_M2,not_applicable,PASS,generated_figure_count,4,"Generated and visually audited joint overview; QA forest; worst-date errors; fixed-date maps selected independently of model score; provenance 0e69b5bff544a92fb14015ebc75da5f27437420e68c83d55167749de97defda8; 2025 locked"
feature_ablation_analysis_v1,2026-07-22T23:26:45+08:00,UNCOMMITTED,2e69128288ef9510c5abb72db07c6ca959358f56b2f6ef757d54699e64257091,ablation5d195970_analysis31afec41,joint_65_dates_71_blocks,M2,20260726,PASS,all_vs_calendar_weather_relative_improvement_fraction,0.177867,"1293/1293 reduced-feature refits complete with zero quarantine; full M2 improvement versus calendar+weather 17.7867% CI 9.6191%-25.8203%; versus calendar+land-use/geography 37.0895% CI 25.3337%-46.8952%; versus calendar+satellite 41.6528% CI 31.9740%-50.1712%; predictive association only; provenance 31afec41abc3448f9732567ad671d73938d5a620f0adc7d2421cb690edc76ae1; 2025 locked"
stqa2_pixel_sensitivity_v2,2026-07-22T23:25:58+08:00,UNCOMMITTED,cb0ab46576d068e278eb2ec392439b6a01f53eccf7ac068dacdef57f7c38216e,strict90_analysis71b9b5fd,joint_strict_15_dates_71_blocks,M2_vs_B1,20260725,PASS_WITH_SCIENTIFIC_GATE_FAILURE,strict_usable_date_count,15,"All 90 strict pixel-level ST_QA<=2 K dates completed on fixed support; only 15/30 required usable dates so target not promoted; 11808-row frozen-primary-OOF improvement 17.7702% with CI -5.2068%-39.5864%; no strict-label refit; provenance 71b9b5fd3b0768086852f0fa8d9fcd834d8719778a93f5d65ef6e1a8dfe46021; 2025 locked"
development_robustness_reconciliation_v1,2026-07-22T23:32:32+08:00,UNCOMMITTED,15801f154ec2c4bd5ab7fa2904ca727fed1a4a6127a6c33be2ec74a0b5a83d76,shared_oof0c06b88f_recon7b7aa40a,seven_authenticated_result_families,B1_M2,not_applicable,PASS,authenticated_evidence_row_count,15,"Reconciled primary endpoint QA residual figures ablation and strict sensitivity; primary/QA seeds kept distinct; tract-summary/pixel STQA distinct; causal claims prohibited; sparse and spatial limitations preserved; provenance 7b7aa40a49ae5d3fb415e16ed8202205f70c8bdce795087b1d98467f453722df; 2025 locked"
development_report_v1,2026-07-22T23:37:47+08:00,UNCOMMITTED,c3534ba10d64478ae18758e8a4f2d39f25fbfa89652d626d207dc5350ec72a1b,recon7b7aa40a_reportdadf41b9,locked_2020_2024_development_only,B1_M2,not_applicable,PASS,report_sha256,d0fbdc5a598b9b4acb23ae7c3cbc7afe2596d1cb428bdbba6042cdb738574d31,"Generated authenticated reports/DEVELOPMENT_REPORT.md from reconciled inputs; historical hindcast and LST-proxy boundaries explicit; no hand-edited values; provenance dadf41b90c03c61c2dae6817de86f30df40b7aa52bea204526f043513b9563c7; 2025 locked"
